2025-02-20 20:02:46.035Z | Internal            | Game logic     | Started logging.
2025-02-20 20:02:46.035Z | Internal            | Game logic     | Game version: 14.0.2.
2025-02-20 20:02:46.035Z | Internal            | Game logic     | Build type: Release.
2025-02-20 20:02:46.036Z | Internal            | Game logic     | Build timestamp: 2025-01-14 22:04:43Z.
2025-02-20 20:02:46.036Z | Internal            | Game logic     | Headless: True.
2025-02-20 20:02:50.910Z | Connection update   | Networking     |  preauthenticated.
2025-02-20 20:02:51.101Z | Connection update   | Networking     |  preauthenticated.
2025-02-20 20:02:51.217Z | Connection update   | Networking     |  preauthenticated.
2025-02-20 20:02:51.240Z | Connection update   | Networking     |  preauthenticated.
2025-02-20 20:02:51.316Z | Connection update   | Networking     |  preauthenticated.
2025-02-20 20:02:51.389Z | Connection update   | Networking     |  preauthenticated.
2025-02-20 20:02:51.403Z | Connection update   | Networking     |  preauthenticated.
2025-02-20 20:02:51.413Z | Auth Rate Limit     | Networking     | Incoming connection rejected due to exceeding the rate limit.
2025-02-20 20:02:51.496Z | Connection update   | Networking     |  preauthenticated.
2025-02-20 20:02:51.526Z | Connection update   | Networking     |  preauthenticated.
2025-02-20 20:02:51.641Z | Connection update   | Networking     |  preauthenticated.
2025-02-20 20:02:51.820Z | Connection update   | Networking     |  preauthenticated.
2025-02-20 20:02:52.036Z | Connection update   | Networking     |  preauthenticated.
2025-02-20 20:02:52.590Z | Connection update   | Networking     |  preauthenticated.
2025-02-20 20:02:53.152Z | Connection update   | Networking     |  preauthenticated.
2025-02-20 20:02:53.238Z | Connection update   | Networking     |  preauthenticated.
2025-02-20 20:02:59.151Z | Connection update   | Networking     |  authenticated. Player ID assigned: 9. Auth token serial number: .
2025-02-20 20:02:59.151Z | Connection update   | Networking     | Nickname of  is now Mao Yem.
2025-02-20 20:02:59.649Z | Connection update   | Networking     |  authenticated. Player ID assigned: 4. Auth token serial number: .
2025-02-20 20:02:59.649Z | Connection update   | Networking     | Nickname of  is now Dora The Rat.
2025-02-20 20:02:59.784Z | Connection update   | Networking     |  authenticated. Player ID assigned: 2. Auth token serial number: .
2025-02-20 20:02:59.784Z | Connection update   | Networking     | Nickname of  is now Howler.
2025-02-20 20:02:59.784Z | Connection update   | Permissions    | Howler () has been assigned to group ADMIN.
2025-02-20 20:02:59.851Z | Connection update   | Networking     |  authenticated from endpoint . Player ID assigned: 3. Auth token serial number: .
2025-02-20 20:02:59.851Z | Connection update   | Networking     | Nickname of  is now MAŁGORZATA ROZENEK.
2025-02-20 20:02:59.851Z | Connection update   | Permissions    | MAŁGORZATA ROZENEK () has been assigned to group ADMIN.
2025-02-20 20:03:00.480Z | Connection update   | Networking     |  authenticated from endpoint . Player ID assigned: 8. Auth token serial number: .
2025-02-20 20:03:00.480Z | Connection update   | Networking     | Nickname of  is now ArashiNek00.
2025-02-20 20:03:00.697Z | Connection update   | Networking     |  authenticated from endpoint . Player ID assigned: 10. Auth token serial number: R8tSeea/-0gYVn0Ry.
2025-02-20 20:03:00.697Z | Connection update   | Networking     | Nickname of  is now KOMAR!!!.
2025-02-20 20:03:00.926Z | Connection update   | Networking     |  authenticated from endpoint . Player ID assigned: 5. Auth token serial number: .
2025-02-20 20:03:00.926Z | Connection update   | Networking     | Nickname of  is now Jan Glin.
2025-02-20 20:03:01.234Z | Connection update   | Networking     |  authenticated from endpoint . Player ID assigned: 1. Auth token serial number: .
2025-02-20 20:03:01.235Z | Connection update   | Networking     | Nickname of  is now Tommy.
2025-02-20 20:03:01.258Z | Connection update   | Networking     |  authenticated from endpoint . Player ID assigned: 6. Auth token serial number: .
2025-02-20 20:03:01.258Z | Connection update   | Networking     | Nickname of  is now adaś.
2025-02-20 20:03:02.088Z | Connection update   | Networking     |  preauthenticated from endpoint .
2025-02-20 20:03:02.401Z | Remote Admin        | Administrative | MAŁGORZATA ROZENEK () enabled lobby lock.
2025-02-20 20:03:02.577Z | Connection update   | Networking     |  authenticated from endpoint . Player ID assigned: 18. Auth token serial number: .
2025-02-20 20:03:02.577Z | Connection update   | Networking     | Nickname of  is now MONKI FLIP.
2025-02-20 20:03:02.647Z | Connection update   | Networking     |  preauthenticated from endpoint .
2025-02-20 20:03:02.864Z | Connection update   | Networking     |  authenticated from endpoint . Player ID assigned: 24. Auth token serial number: .
2025-02-20 20:03:02.864Z | Connection update   | Networking     | Nickname of  is now Traky.
2025-02-20 20:03:02.864Z | Connection update   | Permissions    | Traky () has been assigned to group ADMIN.
2025-02-20 20:03:03.849Z | Connection update   | Networking     |  authenticated from endpoint . Player ID assigned: 23. Auth token serial number: .
2025-02-20 20:03:03.849Z | Connection update   | Networking     | Nickname of  is now Misiu.
2025-02-20 20:03:04.509Z | Connection update   | Networking     |  authenticated from endpoint . Player ID assigned: 21. Auth token serial number: .
2025-02-20 20:03:04.509Z | Connection update   | Networking     | Nickname of  is now smokie.
2025-02-20 20:03:04.861Z | Connection update   | Networking     |  authenticated from endpoint . Player ID assigned: 27. Auth token serial number: .
2025-02-20 20:03:04.861Z | Connection update   | Networking     | Nickname of  is now Gasiaja.
2025-02-20 20:03:10.561Z | Connection update   | Networking     |  authenticated from endpoint . Player ID assigned: 32. Auth token serial number: .
2025-02-20 20:03:10.561Z | Connection update   | Networking     | Nickname of  is now Cavarano.
2025-02-20 20:03:13.067Z | Connection update   | Networking     |  authenticated from endpoint . Player ID assigned: 14. Auth token serial number: .
2025-02-20 20:03:13.068Z | Connection update   | Networking     | Nickname of  is now Vyaatu.
